DissValue,animal_id,Comp
159,BQMUS_001,Within
87,BQMUS_001,Within
179,BQMUS_001,Within
168,BQMUS_001,Within
221,BQMUS_001,Within
114,BQMUS_001,Within
59,BQMUS_002,Within
68,BQMUS_002,Within
59,BQMUS_002,Within
37,BQMUS_002,Within
47,BQMUS_002,Within
38,BQMUS_002,Within
124,BQMUS_003,Within
148,BQMUS_003,Within
73,BQMUS_003,Within
137,BQMUS_003,Within
113,BQMUS_003,Within
161,BQMUS_003,Within
38,BQMUS_004,Within
172,BQMUS_004,Within
186,BQMUS_004,Within
74,BQMUS_004,Within
88,BQMUS_004,Within
98,BQMUS_004,Within
324,NA,Between
196,NA,Between
333,NA,Between
267,NA,Between
140,NA,Between
121,NA,Between
151,NA,Between
122,NA,Between
163,NA,Between
168,NA,Between
107,NA,Between
174,NA,Between
300,NA,Between
177,NA,Between
310,NA,Between
273,NA,Between
158,NA,Between
128,NA,Between
165,NA,Between
135,NA,Between
124,NA,Between
217,NA,Between
159,NA,Between
126,NA,Between
248,NA,Between
143,NA,Between
239,NA,Between
262,NA,Between
125,NA,Between
149,NA,Between
174,NA,Between
158,NA,Between
309,NA,Between
170,NA,Between
295,NA,Between
248,NA,Between
202,NA,Between
172,NA,Between
209,NA,Between
176,NA,Between
145,NA,Between
159,NA,Between
91,NA,Between
172,NA,Between
309,NA,Between
175,NA,Between
301,NA,Between
249,NA,Between
203,NA,Between
190,NA,Between
223,NA,Between
194,NA,Between
114,NA,Between
155,NA,Between
185,NA,Between
92,NA,Between
301,NA,Between
153,NA,Between
293,NA,Between
210,NA,Between
317,NA,Between
177,NA,Between
309,NA,Between
226,NA,Between
275,NA,Between
193,NA,Between
261,NA,Between
308,NA,Between
68,NA,Between
80,NA,Between
112,NA,Between
94,NA,Between
169,NA,Between
85,NA,Between
160,NA,Between
237,NA,Between
141,NA,Between
155,NA,Between
190,NA,Between
172,NA,Between
250,NA,Between
165,NA,Between
228,NA,Between
206,NA,Between
148,NA,Between
148,NA,Between
174,NA,Between
140,NA,Between
299,NA,Between
211,NA,Between
291,NA,Between
357,NA,Between
369,NA,Between
226,NA,Between
361,NA,Between
284,NA,Between
