"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"idsB",NA,"BQMUS_001","BQMUS_002","BQMUS_003","BQMUS_004","BQMUS_001","BQMUS_002","BQMUS_003","BQMUS_004","BQMUS_001","BQMUS_002","BQMUS_003","BQMUS_004","BQMUS_001","BQMUS_002","BQMUS_003","BQMUS_004"
"1","BQMUS_001","1","-323","-247","-316","-158","-308","-168","-300","-86","-308","-249","-298","-167","-299","-274","-368"
"2","BQMUS_002","-323","1","-139","-124","-195","-58","-201","-140","-332","-67","-202","-147","-266","-58","-157","-67"
"3","BQMUS_003","-247","-139","1","-162","-142","-120","-123","-144","-238","-150","-147","-113","-261","-121","-72","-123"
"4","BQMUS_004","-316","-124","-162","1","-176","-148","-167","-37","-308","-173","-106","-171","-225","-157","-173","-73"
"5","BQMUS_001","-158","-195","-142","-176","1","-169","-84","-152","-178","-174","-164","-210","-220","-176","-192","-225"
"6","BQMUS_002","-308","-58","-120","-148","-169","1","-171","-154","-294","-37","-189","-147","-247","-36","-127","-79"
"7","BQMUS_003","-168","-201","-123","-167","-84","-171","1","-158","-159","-208","-112","-154","-236","-175","-136","-216"
"8","BQMUS_004","-300","-140","-144","-37","-152","-154","-158","1","-292","-189","-90","-185","-209","-171","-171","-87"
"9","BQMUS_001","-86","-332","-238","-308","-178","-294","-159","-292","1","-300","-227","-290","-113","-309","-260","-360"
"10","BQMUS_002","-308","-67","-150","-173","-174","-37","-208","-189","-300","1","-222","-173","-248","-46","-164","-111"
"11","BQMUS_003","-249","-202","-147","-106","-164","-189","-112","-90","-227","-222","1","-184","-205","-193","-160","-158"
"12","BQMUS_004","-298","-147","-113","-171","-210","-147","-154","-185","-290","-173","-184","1","-356","-139","-91","-97"
"13","BQMUS_001","-167","-266","-261","-225","-220","-247","-236","-209","-113","-248","-205","-356","1","-272","-307","-283"
"14","BQMUS_002","-299","-58","-121","-157","-176","-36","-175","-171","-309","-46","-193","-139","-272","1","-134","-93"
"15","BQMUS_003","-274","-157","-72","-173","-192","-127","-136","-171","-260","-164","-160","-91","-307","-134","1","-125"
"16","BQMUS_004","-368","-67","-123","-73","-225","-79","-216","-87","-360","-111","-158","-97","-283","-93","-125","1"
